Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorInPPM	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription
Scott	32000	3-2-0-0-0	C34H60N2O26	2	1977	1422	1437	0	0.19107	-1.191074	9	3	912.3434301	0	5	457.1789915	5000	0.0901	0.6829	100	2000
Scott	42000	4-2-0-0-0	C40H70N2O31	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1074.396254	0	5	538.2054032	5000	0.0901	0.6829	3300	1000
Scott	52000	5-2-0-0-0	C46H80N2O36	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1236.449077	0	5	619.2318149	5000	0.0901	0.6829	3291	1000
Scott	62000	6-2-0-0-0	C52H90N2O41	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1398.5019	0	5	700.2582266	5000	0.0901	0.6829	3291	1000
Scott	72000	7-2-0-0-0	C58H100N2O46	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1560.554724	0	5	781.2846383	5000	0.0901	0.6829	3291	1000
Scott	82000	8-2-0-0-0	C64H110N2O51	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1722.607547	0	5	862.31105	5000	0.0901	0.6829	3291	1000
Scott	92000	9-2-0-0-0	C70H120N2O56	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1884.660371	0	5	943.3374618	5000	0.0901	0.6829	3291	3291
Scott	102000	10-2-0-0-0	C76H130N2O61	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2046.713194	0	5	1024.363873	5000	0.0901	0.6829	3291	3291
Scott	112000	11-2-0-0-0	C82H140N2O66	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2208.766018	0	5	1105.390285	5000	0.0901	0.6829	3291	3291
Scott	122000	12-2-0-0-0	C88H150N2O71	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2370.818841	0	5	1186.416697	5000	0.0901	0.6829	9900	9900
