TargetID	Code	EmpiricalFormula	ChargeState	MonomassTheor	MZTheor	ElutionTimeTheor	MonoMassObs	MZObs	ElutionTimeObs	ChromPeaksWithinTolerance	Scan	Abundance	IsoFitScore	InterferenceScore	ScanNum	FragmentCharge	ParentCharge	CorrelationScore	IsIntact	IsAntiCorrelated	Name	FragmentArea	ParentArea	Fragment_LM_R2	FragmentStart	FragmentStop	ParentStart	ParentStop	FragmentError	ParentError	GlobalChargeStateMin	GlobalChargeStateMax	GlobalAggregateAbundance	GlobalIntactCount	GlobalFutureTargetsCount	GlobalResult	ParentOrChild	FinalDecision	AverageMonoMass	PPM	Type	IsoFit	InterferenceValue	ChargeStateCorrelation	MixingFraction	DH	C13	Penalty	Iso_0	Iso_1	Iso_2	Iso_3	Iso_4	Iso_5	Iso_6	Penalty	Iso_0	Iso_1	Iso_2	Iso_3	Iso_4	Iso_5	Iso_6	TheoryIso_0	TheoryIso_1	TheoryIso_2	TheoryIso_3	TheoryIso_4	TheoryIso_5	TheoryIso_6	TheoryIso_7	Zero	H12	H13	H14	H15	Zero	D12	D13	D14	C12	C13	C14	C15
302000000	3-2-0-0-0	C34H60N2O26	2	912.343430112886	457.178991523213	0.19107	912.343632370014	457.179092675007	21.678475	0	406	6726.499	0	0	406	2	0	0	False	False		0	0	0.994520353650324	0	0	0	0	NoError	NoError	2	2	55084	0	0	True	NotKnown	NonValidatedHit	912.343632370014	0.221689685863637	Target	0.00881724253389054	0	0	0.46900001168251	0.883239212807837	0.3979897	0	6726.499	8629.512	3023.125	0	0	0	0	0	0.7794762	1	0.3503239	0	0	0	0	0	0.7805007	1	0.3751459	0	0	0	0	0	0.7794762	0.3102235	0	0	0	0.6897765	0.3503239	0	1	0.3979897	0	0
302000000	3-2-0-0-0	C34H60N2O26	1	912.343430112886	457.178991523213	0.19107	912.339293130994	913.346569620994	28.6832383333333	0	538	8327.47	0	0	538	1	0	0	False	False		0	0	0.987640979312375	0	0	0	0	NoError	NoError	1	1	92331	0	0	True	NotKnown	NonValidatedHit	912.339293130994	-4.53445682341668	Target	0.00613872380760977	0	0	0.537999987602234	1.16450210641777	0.3979897	0	8327.47	13021.75	5192.841	0	0	0	0	0	0.6395048	1	0.3987822	0	0	0	0	0	0.6400033	1	0.3792579	0	0	0	0	0	0.6395048	0.2545163	0	0	0	0.7454837	0.3987822	0	1	0.3979897	0	0
304010000	3-4-1-0-0	C56H96N4O40	2	1464.56008399083	733.287318462186	0.19107	1464.56071645066	733.287634715331	39.4484916666667	0	738	1022548	0	0	738	2	0	0	False	False		0	0	0.995463303001121	0	0	0	0	NoError	NoError	2	2	11552062	0	0	True	NotKnown	NonValidatedHit	1464.56071645066	0.431842869912998	Target	0.00728114570174334	0	0	0.597000002861023	1.48138959577993	0.6576657	32176.78	1022548	2200844	1269825	442677.5	57870.49	10026.16	0	0.0146202	0.4646164	1	0.576972	0.2011399	0.02629469	0.004555597	0	0	0.4674961	1	0.5923027	0.2484294	0.08044642	0.02190567	0	0	0.4646164	0.3055623	0	0	0	0.6944377	0.576972	0.2011399	1	0.6576657	0	0
305010000	3-5-1-0-0	C64H109N5O45	2	1667.63945652535	834.827004729447	0.19107	1667.63554009642	834.825046538209	19.2729533333333	0	361	8365.496	0	0	361	2	0	0	False	False		0	0	0.953944061906159	0	0	0	0	NoError	NoError	2	2	162360	0	0	True	NotKnown	NonValidatedHit	1667.63554009642	-2.34848661177542	Target	0.0159209125135938	0	0	0.349000006914139	0.536098326606447	0.7530832	0	8365.496	10832.71	6147.205	3063.7	0	0	0	0	0.7722439	1	0.5674668	0.2828193	0	0	0	0	0.775686	1	0.599742	0.2591283	0	0	0	0	0.7722439	0.5815638	0	0	0	0.4184362	0.5674668	0.2828193	1	0.7530832	0	0
402000000	4-2-0-0-0	C40H70N2O31	2	1074.39625354411	538.205403238826	0.19107	1074.39578827084	538.20517062542	19.6471216666667	0	369	15088.41	0	0	369	2	0	0	False	False		0	0	0.989813378999122	0	0	0	0	NoError	NoError	2	2	147280	0	0	True	NotKnown	NonValidatedHit	1074.39578827084	-0.433055559515582	Target	0.0394628680189846	0	0	0.312000006437302	0.45348838569265	0.4668317	0	15088.41	14225.44	4961.873	618.5903	0	0	0	0	1	0.9428058	0.3288532	0.04099771	0	0	0	0	1	0.9203201	0.3802155	0.12122	0	0	0	0	1	0.4668317	0	0	0	0.4759741	0.3288532	0.04099771	1	0.4668317	0	0
402000000	4-2-0-0-0	C40H70N2O31	1	1074.39625354411	538.205403238826	0.19107	1074.39274553759	1075.40002202759	40.73765	0	762	44214.49	0	0	762	1	0	0	False	False		0	0	0.987418612832228	0	0	0	0	NoError	NoError	1	1	479734	0	0	True	NotKnown	NonValidatedHit	1074.39274553759	-3.26509564259064	Target	0.000512688941659013	0	0	0.497999995946884	0.992031856426423	0.4668317	0	44214.49	64446.77	27528.92	7757.456	1700.009	0	0	0	0.6860622	1	0.4271575	0.12037	0.02637849	0	0	0	0.685465	1	0.4329567	0.145299	0.03745212	0	0	0	0.6860622	0.3202756	0	0	0	0.6797244	0.4271575	0.12037	1	0.4668317	0	0
403000000	4-3-0-0-0	C48H83N3O36	1	1277.47562607863	639.745089506087	0.19107	1277.47188347665	1278.47915996665	46.3815116666667	0	868	1663.4	0	0	868	1	0	0	False	False		0	0	0.995307677455802	0	0	0	0	NoError	NoError	1	1	14810	0	0	True	NotKnown	NonValidatedHit	1277.47188347665	-2.92968562876624	Target	0.00422512949648142	0	0	0.361000001430511	0.564945230420457	0.5622487	0	1663.4	1871.909	939.0712	718.5308	0	0	0	0	0.8886114	1	0.5016649	0.3838491	0	0	0	0	0.8871588	1	0.4832427	0.1745698	0	0	0	0	0.8886114	0.4996206	0	0	0	0.5003794	0.5016649	0.3838491	1	0.5622487	0	0
403000000	4-3-0-0-0	C48H83N3O36	1	1277.47562607863	639.745089506087	0.19107	1277.47590877992	1278.48318526992	75.50975	0	1409	1838.13	0	0	1409	1	0	0	False	False		0	0	0.971662925915565	0	0	0	0	NoError	NoError	1	1	2999	0	0	True	NotKnown	NonValidatedHit	1277.47590877992	0.22129681281855	Target	0.00153837201151809	0	0	0.358999997377396	0.560062396113219	0.5622487	0	1838.13	2063.494	973.418	0	0	0	0	0	0.8907849	1	0.4717328	0	0	0	0	0	0.8910185	1	0.482899	0	0	0	0	0	0.8907849	0.5008426	0	0	0	0.4991574	0.4717328	0	1	0.5622487	0	0
403000000	4-3-0-0-0	C48H83N3O36	2	1277.47562607863	639.745089506087	0.19107	1277.47091418968	639.74273358484	105.883113333333	0	1976	18948.08	0	0	1976	2	0	0	False	False		0	0	0.993829265377241	0	0	0	0	NoError	NoError	2	2	168818	0	0	True	NotKnown	NonValidatedHit	1277.47091418968	-3.68843746062332	Target	6.65298892799207E-06	0	0	0.119000002741814	0.135073783328219	0.5622487	0	18948.08	13200.71	5740.31	0	0	0	0	0	1	0.6966776	0.3029494	0	0	0	0	0	1	0.6973225	0.3030137	0	0	0	0	0	1	0.5622487	0	0	0	0.1344289	0.3029494	0	1	0.5622487	0	0
403000100	4-3-0-1-0	C59H100N4O44	2	1568.57104260797	785.292797770756	0.19107	1568.57438215786	785.294467568931	31.1422616666667	0	583	5921.328	0	0	583	2	0	0	False	False		0	0	0.991166618636576	0	0	0	0	NoError	NoError	2	2	54342	0	0	True	NotKnown	NonValidatedHit	1568.57438215786	2.12903961623887	Target	0.0402057941552147	0	0	0.460999995470047	0.855287553980769	0.6919308	0	5921.328	9019.729	5691.396	2682.654	0	0	0	0	0.6564862	1	0.630994	0.2974206	0	0	0	0	0.6463212	1	0.5916675	0.252344	0	0	0	0	0.6564862	0.454243	0	0	0	0.545757	0.630994	0.2974206	1	0.6919308	0	0
