Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorInPPM	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription
Scott	607011100	6-7-1-11-0	C219H352N18O158	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5762.006155	0	5	2882.010354	5000	0.0901	0.6829	100	100
Scott	607011101	6-7-1-11-1	C219H350N18O157	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5743.995591	0	5	2873.005072	5000	0.0901	0.6829	100	100
Scott	607011102	6-7-1-11-2	C219H348N18O156	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5725.985027	0	5	2863.99979	5000	0.0901	0.6829	100	100
Scott	607011103	6-7-1-11-3	C219H346N18O155	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5707.974463	0	5	2854.994508	5000	0.0901	0.6829	100	100
Scott	607011104	6-7-1-11-4	C219H344N18O154	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5689.963899	0	5	2845.989226	5000	0.0901	0.6829	100	100
Scott	607011105	6-7-1-11-5	C219H342N18O153	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5671.953335	0	5	2836.983944	5000	0.0901	0.6829	100	100
Scott	607011106	6-7-1-11-6	C219H340N18O152	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5653.942771	0	5	2827.978662	5000	0.0901	0.6829	100	100
Scott	607011107	6-7-1-11-7	C219H338N18O151	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5635.932207	0	5	2818.97338	5000	0.0901	0.6829	100	100
Scott	607011108	6-7-1-11-8	C219H336N18O150	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5617.921643	0	5	2809.968098	5000	0.0901	0.6829	100	100
Scott	607011109	6-7-1-11-9	C219H334N18O149	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5599.911079	0	5	2800.962816	5000	0.0901	0.6829	100	100
Scott	607011110	6-7-1-11-10	C219H332N18O148	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5581.900515	0	5	2791.957534	5000	0.0901	0.6829	100	100
Scott	607020700	6-7-2-7-0	C181H294N14O130	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4743.682416	0	5	2372.848484	5000	0.0901	0.6829	100	100
