Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorInPPM	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription
Scott	100000000	1-0-0-0-0	C6H14N0O6	2	1977	1422	1437	0	0.19107	-1.191074	9	3	182.0790344	0	5	92.04679369	5000	0.0901	0.6829	100	100
Scott	200000000	2-0-0-0-0	C12H24N0O11	2	1977	1422	1437	0	0.19107	-1.191074	9	3	344.1318548	0	5	173.0732039	5000	0.0901	0.6829	100	100
Scott	300000000	3-0-0-0-0	C18H34N0O16	2	1977	1422	1437	0	0.19107	-1.191074	9	3	506.1846751	0	5	254.099614	5000	0.0901	0.6829	100	100
Scott	300000100	3-0-0-0-1	C23H42N0O20	2	1977	1422	1437	0	0.19107	-1.191074	9	3	638.2269313	0	5	320.1207421	5000	0.0901	0.6829	100	100
Scott	300000200	3-0-0-0-2	C28H50N0O24	2	1977	1422	1437	0	0.19107	-1.191074	9	3	770.2691876	0	5	386.1418703	5000	0.0901	0.6829	100	100
Scott	300000300	3-0-0-0-3	C33H58N0O28	2	1977	1422	1437	0	0.19107	-1.191074	9	3	902.3114439	0	5	452.1629984	5000	0.0901	0.6829	100	100
Scott	300210000	3-2-1-0-0	C40H70N2O30	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1058.40132	0	5	530.2079366	5000	0.0901	0.6829	100	100
Scott	300210100	3-2-1-0-1	C45H78N2O34	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1190.443577	0	5	596.2290647	5000	0.0901	0.6829	100	100
Scott	300210200	3-2-1-0-2	C50H86N2O38	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1322.485833	0	5	662.2501929	5000	0.0901	0.6829	100	100
Scott	300210300	3-2-1-0-3	C55H94N2O42	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1454.528089	0	5	728.271321	5000	0.0901	0.6829	100	100
Scott	400000000	4-0-0-0-0	C24H44N0O21	2	1977	1422	1437	0	0.19107	-1.191074	9	3	668.2374954	0	5	335.1260242	5000	0.0901	0.6829	100	100
Scott	400000100	4-0-0-0-1	C29H52N0O25	2	1977	1422	1437	0	0.19107	-1.191074	9	3	800.2797517	0	5	401.1471523	5000	0.0901	0.6829	100	100
Scott	400000200	4-0-0-0-2	C34H60N0O29	2	1977	1422	1437	0	0.19107	-1.191074	9	3	932.3220079	0	5	467.1682804	5000	0.0901	0.6829	100	100
Scott	400000300	4-0-0-0-3	C39H68N0O33	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1064.364264	0	5	533.1894086	5000	0.0901	0.6829	100	100
Scott	400100000	4-1-0-0-0	C32H57N1O26	2	1977	1422	1437	0	0.19107	-1.191074	9	3	871.3168648	0	5	436.6657089	5000	0.0901	0.6829	100	100
Scott	400100100	4-1-0-0-1	C37H65N1O30	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1003.359121	0	5	502.686837	5000	0.0901	0.6829	100	100
Scott	400100200	4-1-0-0-2	C42H73N1O34	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1135.401377	0	5	568.7079651	5000	0.0901	0.6829	100	100
Scott	400100300	4-1-0-0-3	C47H81N1O38	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1267.443634	0	5	634.7290933	5000	0.0901	0.6829	100	100
Scott	400120001	4-1-2-1-0	C55H94N2O42	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1454.528089	0	5	728.271321	5000	0.0901	0.6829	100	100
Scott	400200000	4-2-0-0-0	C40H70N2O31	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1074.396234	0	5	538.2053936	5000	0.0901	0.6829	100	100
Scott	400200100	4-2-0-0-1	C45H78N2O35	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1206.438491	0	5	604.2265217	5000	0.0901	0.6829	100	100
Scott	400200200	4-2-0-0-2	C50H86N2O39	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1338.480747	0	5	670.2476499	5000	0.0901	0.6829	100	100
Scott	400200300	4-2-0-0-3	C55H94N2O43	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1470.523003	0	5	736.268778	5000	0.0901	0.6829	100	100
Scott	400420300	4-4-2-0-3	C83H140N4O61	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2168.797555	0	5	1085.406054	5000	0.0901	0.6829	100	100
Scott	400430300	4-4-3-0-3	C89H150N4O65	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2314.855461	0	5	1158.435007	5000	0.0901	0.6829	100	100
