Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorInPPM	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription
Scott	43003	43003	C75H125N3O60	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2027.682191	0	5	1014.848372	5000	0.0901	0.6829		
Scott	43103	43103	C81H135N3O64	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2173.740097	0	5	1087.877325	5000	0.0901	0.6829		
Scott	43203	43203	C87H145N3O68	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2319.798004	0	5	1160.906278	5000	0.0901	0.6829		
Scott	43004	43004	C84H139N3O68	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2277.751053	0	5	1139.882803	5000	0.0901	0.6829		
Scott	43104	43104	C90H149N3O72	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2423.80896	0	5	1212.911756	5000	0.0901	0.6829		
Scott	43204	43204	C96H159N3O76	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2569.866866	0	5	1285.940709	5000	0.0901	0.6829		
Scott	43005	43005	C93H153N3O76	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2527.819916	0	5	1264.917234	5000	0.0901	0.6829		
Scott	43105	43105	C99H163N3O80	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2673.877822	0	5	1337.946188	5000	0.0901	0.6829		
Scott	43205	43205	C105H173N3O84	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2819.935729	0	5	1410.975141	5000	0.0901	0.6829		
Scott	43006	43006	C102H167N3O84	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2777.888778	0	5	1389.951666	5000	0.0901	0.6829		
Scott	43106	43106	C108H177N3O88	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2923.946685	0	5	1462.980619	5000	0.0901	0.6829		
Scott	43206	43206	C114H187N3O92	2	1977	1422	1437	0	0.19107	-1.191074	9	3	3070.004591	0	5	1536.009572	5000	0.0901	0.6829		
Scott	43007	43007	C111H181N3O92	2	1977	1422	1437	0	0.19107	-1.191074	9	3	3027.957641	0	5	1514.986097	5000	0.0901	0.6829		
Scott	43107	43107	C117H191N3O96	2	1977	1422	1437	0	0.19107	-1.191074	9	3	3174.015547	0	5	1588.01505	5000	0.0901	0.6829		
Scott	43207	43207	C123H201N3O100	2	1977	1422	1437	0	0.19107	-1.191074	9	3	3320.073453	0	5	1661.044003	5000	0.0901	0.6829		
Scott	43008	43008	C120H195N3O100	2	1977	1422	1437	0	0.19107	-1.191074	9	3	3278.026503	0	5	1640.020528	5000	0.0901	0.6829		
