Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorInPPM	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription
Scott	32000	3-2-0-0-0	C34H59N2O26Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	934.32537	0	5	468.16996	5000	0.0901	0.6829	100	2000
Scott	32100	3-2-1-0-0	C40H69N2O30Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1080.38328	0	5	541.19892	5000	0.0901	0.6829	100	100
Scott	42000	4-2-0-0-0	C40H69N2O31Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1096.37820	0	5	549.19638	5000	0.0901	0.6829	3300	1000
Scott	42100	4-2-1-0-0	C46H79N2O35Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1242.43611	0	5	622.22533	5000	0.0901	0.6829	100	100
Scott	52000	5-2-0-0-0	C46H79N2O36Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1258.43102	0	5	630.22279	5000	0.0901	0.6829	3291	1000
Scott	52100	5-2-1-0-0	C52H89N2O40Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1404.48893	0	5	703.25174	5000	0.0901	0.6829	100	100
Scott	62000	6-2-0-0-0	C52H89N2O41Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1420.48385	0	5	711.24920	5000	0.0901	0.6829	3291	1000
Scott	62100	6-2-1-0-0	C58H99N2O45Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1566.54175	0	5	784.27815	5000	0.0901	0.6829	100	100
Scott	72000	7-2-0-0-0	C58H99N2O46Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1582.53667	0	5	792.27561	5000	0.0901	0.6829	3291	1000
Scott	72100	7-2-1-0-0	C64H109N2O50Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1728.59458	0	5	865.30457	5000	0.0901	0.6829	100	100
Scott	82000	8-2-0-0-0	C64H109N2O51Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1744.58949	0	5	873.30202	5000	0.0901	0.6829	3291	1000
Scott	82100	8-2-1-0-0	C70H119N2O55Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1890.64740	0	5	946.33098	5000	0.0901	0.6829	100	100
Scott	92000	9-2-0-0-0	C70H119N2O56Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1906.64232	0	5	954.32843	5000	0.0901	0.6829	3291	3291
Scott	92100	9-2-1-0-0	C76H129N2O60Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2052.70022	0	5	1027.35739	5000	0.0901	0.6829	100	100
Scott	102000	10-2-0-0-0	C76H129N2O61Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2068.69514	0	5	1035.35485	5000	0.0901	0.6829	3291	3291
Scott	102100	10-2-1-0-0	C82H139N2O65Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2214.75305	0	5	1108.38380	5000	0.0901	0.6829	100	100
Scott	112000	11-2-0-0-0	C82H139N2O66Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2230.74796	0	5	1116.38126	5000	0.0901	0.6829	3291	3291
Scott	112100	11-2-1-0-0	C88H149N2O70Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2376.80587	0	5	1189.41021	5000	0.0901	0.6829	100	100
Scott	122000	12-2-0-0-0	C88H149N2O71Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2392.80079	0	5	1197.40767	5000	0.0901	0.6829	9900	9900
Scott	122100	12-2-1-0-0	C94H159N2O75Na	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2538.85869	0	5	1270.43662	5000	0.0901	0.6829	100	100
Scott	32000	3-2-0-0-0	C34H58N2O26Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	950.29037	0	5	476.15246	5000	0.0901	0.6829	100	2000
Scott	32100	3-2-1-0-0	C40H68N2O30Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1096.34828	0	5	549.18142	5000	0.0901	0.6829	100	100
Scott	42000	4-2-0-0-0	C40H68N2O31Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1112.34319	0	5	557.17887	5000	0.0901	0.6829	3300	1000
Scott	42100	4-2-1-0-0	C46H78N2O35Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1258.40110	0	5	630.20783	5000	0.0901	0.6829	100	100
Scott	52000	5-2-0-0-0	C46H78N2O36Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1274.39602	0	5	638.20529	5000	0.0901	0.6829	3291	1000
Scott	52100	5-2-1-0-0	C52H88N2O40Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1420.45393	0	5	711.23424	5000	0.0901	0.6829	100	100
Scott	62000	6-2-0-0-0	C52H88N2O41Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1436.44884	0	5	719.23170	5000	0.0901	0.6829	3291	1000
Scott	62100	6-2-1-0-0	C58H98N2O45Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1582.50675	0	5	792.26065	5000	0.0901	0.6829	100	100
Scott	72000	7-2-0-0-0	C58H98N2O46Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1598.50167	0	5	800.25811	5000	0.0901	0.6829	3291	1000
Scott	72100	7-2-1-0-0	C64H108N2O50Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1744.55957	0	5	873.28706	5000	0.0901	0.6829	100	100
Scott	82000	8-2-0-0-0	C64H108N2O51Ca	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1760.55449	0	5	881.28452	5000	0.0901	0.6829	3291	1000
